library,CWE_id,fix_commit_hash
tensorflow,CWE-835,https://github.com/tensorflow/tensorflow/commit/ae2ec43d674e8e8e6160c562f0b29e1a018e9118
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/01108a05710fc0c72e212901512b448f9abbb03e
tensorflow,CWE-787,https://github.com/tensorflow/tensorflow/commit/2ed4c2279cef8a18d17b6b80736135edb810a6a6
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/92aed7b14476f7e26a5d5ba317cb5dccd45734b6
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/12243e6b65958c2e0c344aa3df4875f472ce5ae0
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/87cf4d3ea9949051e50ca3f071fc909538a51cd0
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/26af5c3fb290cda49bd83928efe3846f297b0af9
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/69c68ecbb24dff3fa0e46da0d16c821a2dd22d7c
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/4c0ee937c0f61c4fc5f5d32d9bb4c67428012a60
tensorflow,CWE-122,https://github.com/tensorflow/tensorflow/commit/f851613f8f0fb0c838d160ced13c134f778e3ce7
tensorflow,CWE-125,https://github.com/tensorflow/tensorflow/commit/eccb7ec454e6617738554a255d77f08e60ee0808
tensorflow,CWE-125,https://github.com/tensorflow/tensorflow/commit/cc0621d70fb6c3d4e4b3b92d65f1c8fdfafe014f
tensorflow,CWE-122,https://github.com/tensorflow/tensorflow/commit/a84358aa12f0b1518e606095ab9cfddbf597c121
tensorflow,CWE-908,https://github.com/tensorflow/tensorflow/commit/29f1aa1beb79abe1358129715986749551902442
tensorflow,CWE-476,https://github.com/tensorflow/tensorflow/commit/e6340f0665d53716ef3197ada88936c2a5f7a2d3
tensorflow,CWE-255,https://github.com/tensorflow/tensorflow/commit/24c54fda9c1b5dafc9adba56ac43808f6e9ec7b7
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/b432a38fe0e1b4b904a6c222cbce794c39703e87
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/d975d4db11c0a41516594e5b564ffd042d22e7b0
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/ff6601a943db5f71fda09210e67ba8e9fd839ae8
tensorflow,CWE-121,https://github.com/tensorflow/tensorflow/commit/5bb73bc2aa7b4143d0197181e27e9a442d5b39a5
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/94b6db8cc538408cc29d88be13307f9fd8a77120
tensorflow,CWE-122,https://github.com/tensorflow/tensorflow/commit/390611e0d45c5793c7066110af37c8514e6a6c54
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/ca8c013b5e97b1373b3bb1c97ea655e69f31a575
tensorflow,CWE-121,https://github.com/tensorflow/tensorflow/commit/aeee9bd1096fbce84cdf665174b2132e1a78e2b4
tensorflow,CWE-705,https://github.com/tensorflow/tensorflow/commit/081098ee7639211687db7d369aa172029572e7dd
tensorflow,CWE-362,https://github.com/tensorflow/tensorflow/commit/2dd9bc663e52e1a75f972e981117b7e29196f3d2
tensorflow,CWE-125,https://github.com/tensorflow/tensorflow/commit/8b5b9dc96666a3a5d27fad7179ff215e3b74b67c
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/35f478825b56218768220a46bb49b9645271f6cf
tensorflow,CWE-122,https://github.com/tensorflow/tensorflow/commit/0462de5b544ed4731aa2fb23946ac22c01856b80
tensorflow,CWE-476,https://github.com/tensorflow/tensorflow/commit/16108b7bb1c7e173142d2011473e4d9a97cc43d3
tensorflow,CWE-241,https://github.com/tensorflow/tensorflow/commit/63dbe41c4c455992f88e4e618efcf638b0325815
tensorflow,CWE-908,https://github.com/tensorflow/tensorflow/commit/83870cb25fa07fac8900aa9da7ecc7823f15cbcf
tensorflow,CWE-439,https://github.com/tensorflow/tensorflow/commit/78026d6a66f7f0fc80c69b1a2f8843616f4cd2a7
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/de0a617f4ef321ebf579a4539cec85690f55fb4c
tensorflow,CWE-835,https://github.com/tensorflow/tensorflow/commit/7bfbd3f7be0725ee9c220047fe85032cf126d92b
tensorflow,CWE-908,https://github.com/tensorflow/tensorflow/commit/1c74b32aa27dc0d40a9ce1f883ea632d399a7b9a
tensorflow,CWE-121,https://github.com/tensorflow/tensorflow/commit/1afe51a60cbda6fc42b157f6393063052208da70
tensorflow,CWE-835,https://github.com/tensorflow/tensorflow/commit/b53ed4d560aaeb7a92185f4fbf2562e5e274456a
tensorflow,CWE-476,https://github.com/tensorflow/tensorflow/commit/40835281112e42fd34af2aea4d3788d15b8e795a
tensorflow,CWE-121,https://github.com/tensorflow/tensorflow/commit/25b0e7d995050c85a56d787a6aac4e1a7423902e
tensorflow,CWE-705,https://github.com/tensorflow/tensorflow/commit/78edbb6403b73d6c79bd58e23e08dc21b5c33847
tensorflow,CWE-121,https://github.com/tensorflow/tensorflow/commit/96498f7fb36e8fcc660cc9444ab0b30f6064cb72
tensorflow,CWE-476,https://github.com/tensorflow/tensorflow/commit/d3c76ae3af38fdcaa88bedb9c73c1ab9bf3bd4f5
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/2e23d38ce733613fd0db938b8ba6bcf39c722ba1
tensorflow,CWE-908,https://github.com/tensorflow/tensorflow/commit/f075bcedbb55daeea9692f3112b098b432c845af
tensorflow,CWE-121,https://github.com/tensorflow/tensorflow/commit/60196aa5ac41fe1ec952a7bc094c59133200c9a8
tensorflow,CWE-121,https://github.com/tensorflow/tensorflow/commit/e4e26b491796a6fb42b336ba01c84b0d3beca793
tensorflow,CWE-835,https://github.com/tensorflow/tensorflow/commit/d4f1668c434505553fa1d1ecc1dc0567349857a5
tensorflow,CWE-401,https://github.com/tensorflow/tensorflow/commit/d75abdfd35094e28aaccdafacd655a96175d8189
tensorflow,CWE-835,https://github.com/tensorflow/tensorflow/commit/eba45c548371e29cd141c32d367b582b9ca656be
tensorflow,CWE-1339,https://github.com/tensorflow/tensorflow/commit/1514b7fdcd54744f1ae68e6d396e0b05028ee1a8
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/2522ce7dd5d28c9733824a66133fc918290e3ed0
tensorflow,CWE-704,https://github.com/tensorflow/tensorflow/commit/5ac1b9e24ff6afc465756edf845d2e9660bd34bf
tensorflow,CWE-439,https://github.com/tensorflow/tensorflow/commit/54daf3c5700897a6062313983933ca28e92c410d
tensorflow,CWE-125,https://github.com/tensorflow/tensorflow/commit/0c3af9326f23cb4a254c41a80679ab39f87e82d0
